Geographic,State,NAME,FY 2021 PPRN
209169,KS,Saline County,"$145,134"
209171,KS,Scott County,"$12,325"
209173,KS,Sedgwick County,"$254,298"
209175,KS,Seward County,"$111,441"
209177,KS,Shawnee County,"$99,118"
209179,KS,Sheridan County,"$8,038"
209181,KS,Sherman County,"$18,825"
209183,KS,Smith County,"$19,898"
209185,KS,Stafford County,"$18,923"
209187,KS,Stanton County,"$5,197"
209189,KS,Stevens County,"$18,411"
209191,KS,Sumner County,"$78,083"
209193,KS,Thomas County,"$20,871"
209195,KS,Trego County,"$10,467"
209197,KS,Wabaunsee County,"$24,216"
209199,KS,Wallace County,"$5,793"
209201,KS,Washington County,"$25,678"
209203,KS,Wichita County,"$5,790"
209205,KS,Wilson County,"$38,170"
209207,KS,Woodson County,"$19,350"
209209,KS,Wyandotte County,"$35,419"
210048,KY,Ashland,"$181,868"
210210,KY,Bowling Green,"$207,545"
210534,KY,Covington,"$1,288,738"
210696,KY,Elizabethtown,"$62,089"
211032,KY,Henderson,"$81,085"
211086,KY,Hopkinsville,"$85,691"
211314,KY,Lexington-Fayette,"$2,092,421"
211374,KY,Louisville-CDBG,"$9,883,757"
211680,KY,Owensboro,"$158,465"
219001,KY,Adair County,"$55,404"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
219003,KY,Allen County,"$56,588"
219005,KY,Anderson County,"$39,589"
219007,KY,Ballard County,"$17,517"
219009,KY,Barren County,"$130,286"
219011,KY,Bath County,"$40,021"
219013,KY,Bell County,"$102,808"
219015,KY,Boone County,"$184,069"
219017,KY,Bourbon County,"$78,769"
219019,KY,Boyd County,"$60,376"
219021,KY,Boyle County,"$72,552"
219023,KY,Bracken County,"$47,172"
219025,KY,Breathitt County,"$51,753"
219027,KY,Breckinridge County,"$53,634"
219029,KY,Bullitt County,"$144,777"
219031,KY,Butler County,"$35,415"
219033,KY,Caldwell County,"$35,796"
219035,KY,Calloway County,"$85,417"
219037,KY,Campbell County,"$485,962"
219039,KY,Carlisle County,"$13,936"
219041,KY,Carroll County,"$47,155"
219043,KY,Carter County,"$71,344"
219045,KY,Casey County,"$43,452"
219047,KY,Christian County,"$94,438"
219049,KY,Clark County,"$106,251"
219051,KY,Clay County,"$81,926"
219053,KY,Clinton County,"$25,257"
219055,KY,Crittenden County,"$21,314"
219057,KY,Cumberland County,"$20,304"
219059,KY,Daviess County,"$76,544"
219061,KY,Edmonson County,"$35,594"
219063,KY,Elliott County,"$22,475"
219065,KY,Estill County,"$54,934"
219069,KY,Fleming County,"$49,153"
219071,KY,Floyd County,"$130,998"
219073,KY,Franklin County,"$120,681"
219075,KY,Fulton County,"$20,426"
219077,KY,Gallatin County,"$20,016"
219079,KY,Garrard County,"$50,318"
219081,KY,Grant County,"$84,341"
219083,KY,Graves County,"$95,524"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
219085,KY,Grayson County,"$77,692"
219087,KY,Green County,"$37,560"
219089,KY,Greenup County,"$90,744"
219091,KY,Hancock County,"$19,878"
219093,KY,Hardin County,"$164,260"
219095,KY,Harlan County,"$118,947"
219097,KY,Harrison County,"$72,039"
219099,KY,Hart County,"$48,581"
219101,KY,Henderson County,"$42,164"
219103,KY,Henry County,"$50,290"
219105,KY,Hickman County,"$13,986"
219107,KY,Hopkins County,"$135,373"
219109,KY,Jackson County,"$48,903"
219113,KY,Jessamine County,"$128,554"
219115,KY,Johnson County,"$66,318"
219117,KY,Kenton County,"$270,633"
219119,KY,Knott County,"$61,526"
219121,KY,Knox County,"$107,506"
219123,KY,Larue County,"$43,264"
219125,KY,Laurel County,"$183,728"
219127,KY,Lawrence County,"$47,403"
219129,KY,Lee County,"$20,514"
219131,KY,Leslie County,"$36,030"
219133,KY,Letcher County,"$89,632"
219135,KY,Lewis County,"$40,659"
219137,KY,Lincoln County,"$76,672"
219139,KY,Livingston County,"$22,944"
219141,KY,Logan County,"$66,826"
219143,KY,Lyon County,"$15,685"
219145,KY,McCracken County,"$168,357"
219147,KY,McCreary County,"$64,774"
219149,KY,McLean County,"$29,407"
219151,KY,Madison County,"$186,369"
219153,KY,Magoffin County,"$44,235"
219155,KY,Marion County,"$50,746"
219157,KY,Marshall County,"$66,359"
219159,KY,Martin County,"$39,774"
219161,KY,Mason County,"$70,362"
219163,KY,Meade County,"$74,249"
219165,KY,Menifee County,"$13,891"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
219167,KY,Mercer County,"$79,079"
219169,KY,Metcalfe County,"$32,456"
219171,KY,Monroe County,"$29,287"
219173,KY,Montgomery County,"$81,550"
219175,KY,Morgan County,"$35,776"
219177,KY,Muhlenberg County,"$77,264"
219179,KY,Nelson County,"$93,337"
219181,KY,Nicholas County,"$32,755"
219183,KY,Ohio County,"$64,870"
219185,KY,Oldham County,"$83,987"
219187,KY,Owen County,"$36,716"
219189,KY,Owsley County,"$16,634"
219191,KY,Pendleton County,"$50,498"
219193,KY,Perry County,"$88,842"
219195,KY,Pike County,"$179,579"
219197,KY,Powell County,"$41,222"
219199,KY,Pulaski County,"$177,350"
219201,KY,Robertson County,"$14,450"
219203,KY,Rockcastle County,"$45,493"
219205,KY,Rowan County,"$61,128"
219207,KY,Russell County,"$60,124"
219209,KY,Scott County,"$118,321"
219211,KY,Shelby County,"$107,416"
219213,KY,Simpson County,"$41,737"
219215,KY,Spencer County,"$30,323"
219217,KY,Taylor County,"$66,517"
219219,KY,Todd County,"$32,899"
219221,KY,Trigg County,"$35,167"
219223,KY,Trimble County,"$18,873"
219225,KY,Union County,"$54,497"
219227,KY,Warren County,"$104,856"
219229,KY,Washington County,"$42,129"
219231,KY,Wayne County,"$59,387"
219233,KY,Webster County,"$43,987"
219235,KY,Whitley County,"$99,025"
219237,KY,Wolfe County,"$24,947"
219239,KY,Woodford County,"$61,235"
220030,LA,Alexandria,"$134,055"
220126,LA,Baton Rouge,"$2,831,035"
220192,LA,Bossier City,"$170,854"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
220828,LA,Houma-Terrebonne,"$304,217"
220924,LA,Kenner,"$154,734"
220954,LA,Lafayette,"$1,249,816"
220978,LA,Lake Charles,"$212,812"
221206,LA,Monroe,"$235,104"
221296,LA,New Orleans,"$11,235,037"
221650,LA,Shreveport,"$1,681,929"
221698,LA,Slidell,"$56,356"
221794,LA,Thibodaux,"$49,474"
229001,LA,Acadia Parish,"$269,637"
229003,LA,Allen Parish,"$68,047"
229005,LA,Ascension Parish,"$245,712"
229007,LA,Assumption Parish,"$74,979"
229009,LA,Avoyelles Parish,"$132,143"
229011,LA,Beauregard Parish,"$100,265"
229013,LA,Bienville Parish,"$60,281"
229015,LA,Bossier Parish,"$129,400"
229017,LA,Caddo Parish,"$143,419"
229019,LA,Calcasieu Parish,"$294,798"
229021,LA,Caldwell Parish,"$34,030"
229023,LA,Cameron Parish,"$16,049"
229025,LA,Catahoula Parish,"$33,822"
229027,LA,Claiborne Parish,"$48,097"
229029,LA,Concordia Parish,"$73,444"
229031,LA,De Soto Parish,"$88,396"
229033,LA,East Baton Rouge Parish,"$97,507"
229035,LA,East Carroll Parish,"$35,608"
229037,LA,East Feliciana Parish,"$70,813"
229039,LA,Evangeline Parish,"$116,986"
229041,LA,Franklin Parish,"$70,344"
229043,LA,Grant Parish,"$59,513"
229045,LA,Iberia Parish,"$292,923"
229047,LA,Iberville Parish,"$124,236"
229049,LA,Jackson Parish,"$45,811"
229051,LA,Jefferson Parish,"$2,255,799"
229053,LA,Jefferson Davis Parish,"$137,382"
229055,LA,Lafayette Parish,"$109,830"
229057,LA,Lafourche Parish,"$203,322"
229059,LA,LaSalle Parish,"$58,019"
229061,LA,Lincoln Parish,"$160,373"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
229063,LA,Livingston Parish,"$326,010"
229065,LA,Madison Parish,"$47,284"
229067,LA,Morehouse Parish,"$87,841"
229069,LA,Natchitoches Parish,"$150,404"
229073,LA,Ouachita Parish,"$280,895"
229075,LA,Plaquemines Parish,"$67,130"
229077,LA,Pointe Coupee Parish,"$82,280"
229079,LA,Rapides Parish,"$212,811"
229081,LA,Red River Parish,"$23,735"
229083,LA,Richland Parish,"$67,272"
229085,LA,Sabine Parish,"$64,599"
229087,LA,St. Bernard Parish,"$117,881"
229089,LA,St. Charles Parish,"$108,199"
229091,LA,St. Helena Parish,"$38,107"
229093,LA,St. James Parish,"$68,210"
229095,LA,St. John the Baptist Parish,"$111,417"
229097,LA,St. Landry Parish,"$293,686"
229099,LA,St. Martin Parish,"$164,708"
229101,LA,St. Mary Parish,"$159,253"
229103,LA,St. Tammany Parish,"$378,865"
229105,LA,Tangipahoa Parish,"$356,017"
229107,LA,Tensas Parish,"$21,911"
229111,LA,Union Parish,"$65,451"
229113,LA,Vermilion Parish,"$255,791"
229115,LA,Vernon Parish,"$112,373"
229117,LA,Washington Parish,"$240,279"
229119,LA,Webster Parish,"$124,534"
229121,LA,West Baton Rouge Parish,"$69,092"
229123,LA,West Carroll Parish,"$27,076"
229125,LA,West Feliciana Parish,"$51,371"
229127,LA,Winn Parish,"$58,468"
230120,ME,Auburn,"$180,483"
230162,ME,Bangor,"$268,783"
230252,ME,Biddeford,"$148,722"
231602,ME,Lewiston,"$290,143"
232484,ME,Portland City,"$1,666,284"
239001,ME,Androscoggin County,"$179,620"
239003,ME,Aroostook County,"$308,363"
239005,ME,Cumberland County,"$495,767"
239007,ME,Franklin County,"$127,768"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
239009,ME,Hancock County,"$237,037"
239011,ME,Kennebec County,"$512,247"
239013,ME,Knox County,"$189,668"
239015,ME,Lincoln County,"$153,454"
239017,ME,Oxford County,"$247,979"
239019,ME,Penobscot County,"$461,441"
239021,ME,Piscataquis County,"$91,272"
239023,ME,Sagadahoc County,"$133,710"
239025,ME,Somerset County,"$254,987"
239027,ME,Waldo County,"$176,802"
239029,ME,Washington County,"$163,825"
239031,ME,York County,"$546,673"
240036,MD,Annapolis,"$84,400"
240066,MD,Baltimore,"$19,198,156"
240156,MD,Bowie City,"$62,963"
240378,MD,Cumberland,"$256,594"
240552,MD,Frederick,"$131,152"
240582,MD,Gaithersburg,"$143,262"
240660,MD,Hagerstown,"$254,760"
241278,MD,Salisbury,"$122,791"
249001,MD,Allegany County,"$165,188"
249003,MD,Anne Arundel County,"$1,829,086"
249005,MD,Baltimore County,"$3,612,242"
249009,MD,Calvert County,"$123,792"
249011,MD,Caroline County,"$94,213"
249013,MD,Carroll County,"$256,833"
249015,MD,Cecil County,"$223,330"
249017,MD,Charles County,"$247,539"
249019,MD,Dorchester County,"$102,313"
249021,MD,Frederick County,"$266,498"
249023,MD,Garrett County,"$80,860"
249025,MD,Harford County,"$345,421"
249027,MD,Howard County,"$415,053"
249029,MD,Kent County,"$70,756"
249031,MD,Montgomery County,"$4,330,141"
249033,MD,Prince Georges County,"$4,450,086"
249035,MD,Queen Anne's County,"$82,106"
249037,MD,St. Mary's County,"$192,183"
249039,MD,Somerset County,"$77,538"
249041,MD,Talbot County,"$97,093"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
249043,MD,Washington County,"$195,508"
249045,MD,Wicomico County,"$147,241"
249047,MD,Worcester County,"$105,941"
250078,MA,Arlington,"$355,543"
250126,MA,Attleboro,"$137,965"
250168,MA,Barnstable,"$90,690"
250282,MA,Boston,"$15,031,079"
250354,MA,Brockton,"$453,211"
250372,MA,Brookline,"$434,978"
250396,MA,Cambridge,"$2,241,681"
250486,MA,Chicopee,"$380,631"
250744,MA,Fall River,"$2,525,650"
250774,MA,Fitchburg,"$315,751"
250804,MA,Framingham,"$171,982"
250858,MA,Gloucester,"$218,647"
251020,MA,Haverhill,"$329,006"
251074,MA,Holyoke,"$400,995"
251194,MA,Lawrence,"$1,481,431"
251236,MA,Leominster,"$146,822"
251284,MA,Lowell,"$1,913,176"
251302,MA,Lynn,"$2,134,433"
251314,MA,Malden,"$445,524"
251410,MA,Medford,"$1,357,530"
251614,MA,New Bedford,"$2,379,885"
251650,MA,Newton,"$1,664,781"
251674,MA,Northampton,"$216,267"
251884,MA,Peabody City,"$140,435"
251938,MA,Pittsfield,"$425,275"
251962,MA,Plymouth Town,"$122,733"
251992,MA,Quincy,"$1,601,739"
252028,MA,Revere City,"$257,434"
252118,MA,Salem,"$348,293"
252250,MA,Somerville,"$2,188,270"
252340,MA,Springfield,"$3,372,841"
252418,MA,Taunton,"$262,102"
252544,MA,Waltham,"$306,018"
252700,MA,Westfield,"$116,774"
252784,MA,Weymouth Town,"$225,921"
252880,MA,Worcester,"$3,980,591"
252904,MA,Yarmouth,"$40,883"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
259001,MA,Barnstable County,"$435,267"
259003,MA,Berkshire County,"$389,664"
259005,MA,Bristol County,"$691,017"
259007,MA,Dukes County,"$70,878"
259009,MA,Essex County,"$1,262,962"
259011,MA,Franklin County,"$312,539"
259013,MA,Hampden County,"$539,976"
259015,MA,Hampshire County,"$513,098"
259017,MA,Middlesex County,"$2,572,691"
259019,MA,Nantucket County,"$57,706"
259021,MA,Norfolk County,"$1,142,064"
259023,MA,Plymouth County,"$918,503"
259025,MA,Suffolk County,"$439,860"
259027,MA,Worcester County,"$1,628,503"
260432,MI,Battle Creek,"$392,957"
260444,MI,Bay City,"$395,746"
260570,MI,Benton Harbor,"$135,182"
261074,MI,Canton Twp,"$115,946"
261410,MI,Clinton Twp,"$193,814"
261638,MI,Dearborn,"$1,684,185"
261644,MI,Dearborn Heights,"$329,514"
261698,MI,Detroit,"$30,417,823"
261848,MI,East Lansing,"$155,969"
262096,MI,Farmington Hills,"$113,366"
262172,MI,Flint,"$3,435,025"
262544,MI,Grand Rapids,"$3,252,222"
262940,MI,Holland,"$103,147"
263174,MI,Jackson,"$407,329"
263222,MI,Kalamazoo,"$1,404,847"
263456,MI,Lansing,"$1,763,136"
263588,MI,Lincoln Park,"$256,852"
263648,MI,Livonia,"$105,685"
264086,MI,Midland,"$71,252"
264164,MI,Monroe,"$145,473"
264296,MI,Muskegon,"$315,315"
264302,MI,Muskegon Hts,"$140,350"
264386,MI,Niles,"$91,623"
264452,MI,Norton Shores,"$44,859"
264962,MI,Pontiac,"$1,327,964"
264974,MI,Portage,"$70,297"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
265010,MI,Port Huron,"$249,046"
265148,MI,Redford,"$296,583"
265286,MI,Roseville,"$190,260"
265304,MI,Royal Oak,"$378,462"
265340,MI,Saginaw,"$1,863,919"
265370,MI,St Clair Shores,"$280,608"
265664,MI,Southfield,"$138,369"
265814,MI,Sterling Heights,"$257,242"
265934,MI,Taylor,"$152,516"
266252,MI,Warren,"$358,943"
266267,MI,Waterford Township,"$115,609"
266378,MI,Westland,"$354,488"
266624,MI,Wyoming,"$183,446"
269001,MI,Alcona County,"$28,039"
269003,MI,Alger County,"$28,268"
269005,MI,Allegan County,"$279,784"
269007,MI,Alpena County,"$79,431"
269009,MI,Antrim County,"$63,597"
269011,MI,Arenac County,"$46,157"
269013,MI,Baraga County,"$26,860"
269015,MI,Barry County,"$153,314"
269017,MI,Bay County,"$165,549"
269019,MI,Benzie County,"$49,249"
269021,MI,Berrien County,"$352,268"
269023,MI,Branch County,"$148,807"
269025,MI,Calhoun County,"$254,240"
269027,MI,Cass County,"$148,817"
269029,MI,Charlevoix County,"$71,544"
269031,MI,Cheboygan County,"$90,178"
269033,MI,Chippewa County,"$106,247"
269035,MI,Clare County,"$124,224"
269037,MI,Clinton County,"$164,403"
269039,MI,Crawford County,"$41,781"
269041,MI,Delta County,"$138,310"
269043,MI,Dickinson County,"$99,699"
269045,MI,Eaton County,"$244,867"
269047,MI,Emmet County,"$97,463"
269049,MI,Genesee County,"$1,588,717"
269051,MI,Gladwin County,"$92,174"
269053,MI,Gogebic County,"$95,953"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
269055,MI,Grand Traverse County,"$208,944"
269057,MI,Gratiot County,"$133,911"
269059,MI,Hillsdale County,"$174,430"
269061,MI,Houghton County,"$195,843"
269063,MI,Huron County,"$113,184"
269065,MI,Ingham County,"$277,355"
269067,MI,Ionia County,"$188,085"
269069,MI,Iosco County,"$78,670"
269071,MI,Iron County,"$64,267"
269073,MI,Isabella County,"$271,062"
269075,MI,Jackson County,"$264,623"
269077,MI,Kalamazoo County,"$326,512"
269079,MI,Kalkaska County,"$61,389"
269081,MI,Kent County,"$1,500,171"
269083,MI,Keweenaw County,"$20,068"
269085,MI,Lake County,"$44,865"
269087,MI,Lapeer County,"$197,796"
269089,MI,Leelanau County,"$53,796"
269091,MI,Lenawee County,"$308,891"
269093,MI,Livingston County,"$308,617"
269095,MI,Luce County,"$18,541"
269097,MI,Mackinac County,"$46,365"
269099,MI,Macomb County,"$1,626,848"
269101,MI,Manistee County,"$89,181"
269103,MI,Marquette County,"$222,060"
269105,MI,Mason County,"$100,638"
269107,MI,Mecosta County,"$156,661"
269109,MI,Menominee County,"$87,140"
269111,MI,Midland County,"$93,557"
269113,MI,Missaukee County,"$54,959"
269115,MI,Monroe County,"$284,180"
269117,MI,Montcalm County,"$187,579"
269119,MI,Montmorency County,"$25,705"
269121,MI,Muskegon County,"$247,059"
269123,MI,Newaygo County,"$159,304"
269125,MI,Oakland County,"$3,312,671"
269127,MI,Oceana County,"$109,321"
269129,MI,Ogemaw County,"$75,485"
269131,MI,Ontonagon County,"$37,804"
269133,MI,Osceola County,"$84,566"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
269135,MI,Oscoda County,"$31,206"
269137,MI,Otsego County,"$76,220"
269139,MI,Ottawa County,"$554,214"
269141,MI,Presque Isle County,"$43,288"
269143,MI,Roscommon County,"$76,626"
269145,MI,Saginaw County,"$331,360"
269147,MI,St. Clair County,"$277,662"
269149,MI,St. Joseph County,"$197,982"
269151,MI,Sanilac County,"$139,969"
269153,MI,Schoolcraft County,"$31,479"
269155,MI,Shiawassee County,"$205,648"
269157,MI,Tuscola County,"$167,485"
269159,MI,Van Buren County,"$246,629"
269161,MI,Washtenaw County,"$1,857,961"
269163,MI,Wayne County,"$4,849,822"
269165,MI,Wexford County,"$106,451"
270456,MN,Bloomington,"$145,183"
271266,MN,Duluth,"$2,091,654"
271338,MN,Eden Prairie,"$90,545"
272922,MN,Mankato City,"$125,707"
273120,MN,Minneapolis,"$9,733,986"
273198,MN,Moorhead,"$84,562"
273768,MN,Plymouth,"$93,567"
273930,MN,Rochester,"$223,250"
274104,MN,St Cloud,"$199,829"
274164,MN,St Paul,"$5,941,336"
275040,MN,Woodbury City,"$75,792"
279001,MN,Aitkin County,"$49,104"
279003,MN,Anoka County,"$502,643"
279005,MN,Becker County,"$94,951"
279007,MN,Beltrami County,"$167,661"
279009,MN,Benton County,"$95,222"
279011,MN,Big Stone County,"$23,085"
279013,MN,Blue Earth County,"$68,332"
279015,MN,Brown County,"$83,295"
279017,MN,Carlton County,"$100,694"
279019,MN,Carver County,"$151,488"
279021,MN,Cass County,"$106,948"
279023,MN,Chippewa County,"$38,932"
279025,MN,Chisago County,"$86,834"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
279027,MN,Clay County,"$48,751"
279029,MN,Clearwater County,"$37,060"
279031,MN,Cook County,"$22,887"
279033,MN,Cottonwood County,"$41,957"
279035,MN,Crow Wing County,"$142,834"
279037,MN,Dakota County,"$1,662,220"
279039,MN,Dodge County,"$46,790"
279041,MN,Douglas County,"$84,644"
279043,MN,Faribault County,"$59,935"
279045,MN,Fillmore County,"$80,463"
279047,MN,Freeborn County,"$101,023"
279049,MN,Goodhue County,"$141,733"
279051,MN,Grant County,"$21,483"
279053,MN,Hennepin County,"$2,529,705"
279055,MN,Houston County,"$53,977"
279057,MN,Hubbard County,"$59,842"
279059,MN,Isanti County,"$79,309"
279061,MN,Itasca County,"$139,242"
279063,MN,Jackson County,"$35,260"
279065,MN,Kanabec County,"$45,881"
279067,MN,Kandiyohi County,"$116,954"
279069,MN,Kittson County,"$15,663"
279071,MN,Koochiching County,"$39,635"
279073,MN,Lac qui Parle County,"$30,009"
279075,MN,Lake County,"$34,690"
279077,MN,Lake of the Woods County,"$8,297"
279079,MN,Le Sueur County,"$73,004"
279081,MN,Lincoln County,"$23,649"
279083,MN,Lyon County,"$80,651"
279085,MN,McLeod County,"$87,761"
279087,MN,Mahnomen County,"$26,232"
279089,MN,Marshall County,"$29,028"
279091,MN,Martin County,"$74,727"
279093,MN,Meeker County,"$61,009"
279095,MN,Mille Lacs County,"$71,659"
279097,MN,Morrison County,"$91,849"
279099,MN,Mower County,"$123,489"
279101,MN,Murray County,"$30,124"
279103,MN,Nicollet County,"$79,960"
279105,MN,Nobles County,"$86,244"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
279107,MN,Norman County,"$24,513"
279109,MN,Olmsted County,"$63,713"
279111,MN,Otter Tail County,"$160,962"
279113,MN,Pennington County,"$37,933"
279115,MN,Pine County,"$82,435"
279117,MN,Pipestone County,"$37,384"
279119,MN,Polk County,"$91,224"
279121,MN,Pope County,"$36,662"
279123,MN,Ramsey County,"$369,013"
279125,MN,Red Lake County,"$12,621"
279127,MN,Redwood County,"$55,841"
279129,MN,Renville County,"$55,568"
279131,MN,Rice County,"$159,860"
279133,MN,Rock County,"$32,017"
279135,MN,Roseau County,"$42,078"
279137,MN,St Louis County,"$1,706,691"
279139,MN,Scott County,"$268,614"
279141,MN,Sherburne County,"$152,461"
279143,MN,Sibley County,"$51,052"
279145,MN,Stearns County,"$244,184"
279147,MN,Steele County,"$96,735"
279149,MN,Stevens County,"$31,306"
279151,MN,Swift County,"$34,396"
279153,MN,Todd County,"$83,391"
279155,MN,Traverse County,"$15,454"
279157,MN,Wabasha County,"$59,610"
279159,MN,Wadena County,"$45,884"
279161,MN,Waseca County,"$54,792"
279163,MN,Washington County,"$230,238"
279165,MN,Watonwan County,"$45,859"
279167,MN,Wilkin County,"$18,700"
279169,MN,Winona County,"$177,926"
279171,MN,Wright County,"$239,039"
279173,MN,Yellow Medicine County,"$39,660"
280132,MS,Biloxi,"$146,549"
280612,MS,Gulfport,"$228,942"
280630,MS,Hattiesburg,"$173,099"
280726,MS,Jackson,"$1,613,637"
281002,MS,Moss Point,"$35,515"
281134,MS,Pascagoula,"$58,483"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
289001,MS,Adams County,"$137,408"
289003,MS,Alcorn County,"$137,733"
289005,MS,Amite County,"$66,583"
289007,MS,Attala County,"$96,523"
289009,MS,Benton County,"$22,888"
289011,MS,Bolivar County,"$135,887"
289013,MS,Calhoun County,"$50,516"
289015,MS,Carroll County,"$25,637"
289017,MS,Chickasaw County,"$55,262"
289019,MS,Choctaw County,"$36,145"
289021,MS,Claiborne County,"$47,737"
289023,MS,Clarke County,"$55,315"
289025,MS,Clay County,"$73,163"
289027,MS,Coahoma County,"$99,018"
289029,MS,Copiah County,"$154,514"
289031,MS,Covington County,"$73,340"
289033,MS,DeSoto County,"$349,095"
289035,MS,Forrest County,"$85,090"
289037,MS,Franklin County,"$30,063"
289039,MS,George County,"$56,278"
289041,MS,Greene County,"$36,488"
289043,MS,Grenada County,"$69,160"
289045,MS,Hancock County,"$127,607"
289047,MS,Harrison County,"$224,564"
289049,MS,Hinds County,"$149,597"
289051,MS,Holmes County,"$94,853"
289053,MS,Humphreys County,"$40,145"
289055,MS,Issaquena County,"$4,783"
289057,MS,Itawamba County,"$59,332"
289059,MS,Jackson County,"$202,397"
289061,MS,Jasper County,"$63,160"
289063,MS,Jefferson County,"$35,277"
289065,MS,Jefferson Davis County,"$50,707"
289067,MS,Jones County,"$237,851"
289069,MS,Kemper County,"$42,427"
289071,MS,Lafayette County,"$160,423"
289073,MS,Lamar County,"$133,007"
289075,MS,Lauderdale County,"$282,629"
289077,MS,Lawrence County,"$39,427"
289079,MS,Leake County,"$77,380"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
289081,MS,Lee County,"$241,171"
289083,MS,Leflore County,"$126,400"
289085,MS,Lincoln County,"$126,930"
289087,MS,Lowndes County,"$184,692"
289089,MS,Madison County,"$216,973"
289091,MS,Marion County,"$92,504"
289093,MS,Marshall County,"$82,668"
289095,MS,Monroe County,"$117,677"
289097,MS,Montgomery County,"$54,947"
289099,MS,Neshoba County,"$111,032"
289101,MS,Newton County,"$72,993"
289103,MS,Noxubee County,"$46,526"
289105,MS,Oktibbeha County,"$149,380"
289107,MS,Panola County,"$108,819"
289109,MS,Pearl River County,"$153,014"
289111,MS,Perry County,"$37,956"
289113,MS,Pike County,"$176,505"
289115,MS,Pontotoc County,"$98,207"
289117,MS,Prentiss County,"$70,151"
289119,MS,Quitman County,"$34,403"
289121,MS,Rankin County,"$275,786"
289123,MS,Scott County,"$113,095"
289125,MS,Sharkey County,"$18,342"
289127,MS,Simpson County,"$95,388"
289129,MS,Smith County,"$38,594"
289131,MS,Stone County,"$53,384"
289133,MS,Sunflower County,"$93,408"
289135,MS,Tallahatchie County,"$46,168"
289137,MS,Tate County,"$85,977"
289139,MS,Tippah County,"$74,001"
289141,MS,Tishomingo County,"$56,500"
289143,MS,Tunica County,"$53,763"
289145,MS,Union County,"$117,243"
289147,MS,Walthall County,"$56,656"
289149,MS,Warren County,"$147,412"
289151,MS,Washington County,"$199,320"
289153,MS,Wayne County,"$60,842"
289155,MS,Webster County,"$38,574"
289157,MS,Wilkinson County,"$39,614"
289159,MS,Winston County,"$64,615"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
289161,MS,Yalobusha County,"$53,047"
289163,MS,Yazoo County,"$105,765"
290534,MO,Blue Springs,"$85,254"
291152,MO,Columbia,"$308,976"
291806,MO,Florissant,"$81,671"
292562,MO,Independence,"$258,045"
292628,MO,Jefferson City,"$97,140"
292652,MO,Joplin,"$187,925"
292670,MO,Kansas City,"$6,759,258"
292958,MO,Lees Summit,"$118,026"
293852,MO,O'Fallon,"$95,069"
294614,MO,St Joseph,"$1,372,615"
294626,MO,St Louis,"$15,884,824"
294884,MO,Springfield,"$493,598"
299001,MO,Adair County,"$80,899"
299003,MO,Andrew County,"$46,344"
299005,MO,Atchison County,"$26,049"
299007,MO,Audrain County,"$61,795"
299009,MO,Barry County,"$103,890"
299011,MO,Barton County,"$40,227"
299013,MO,Bates County,"$53,471"
299015,MO,Benton County,"$47,875"
299017,MO,Bollinger County,"$33,900"
299019,MO,Boone County,"$100,457"
299021,MO,Buchanan County,"$30,904"
299023,MO,Butler County,"$108,399"
299025,MO,Caldwell County,"$36,045"
299027,MO,Callaway County,"$80,854"
299029,MO,Camden County,"$101,487"
299031,MO,Cape Girardeau County,"$178,354"
299033,MO,Carroll County,"$38,292"
299035,MO,Carter County,"$17,332"
299037,MO,Cass County,"$179,665"
299039,MO,Cedar County,"$43,392"
299041,MO,Chariton County,"$27,038"
299043,MO,Christian County,"$156,424"
299045,MO,Clark County,"$22,953"
299047,MO,Clay County,"$170,274"
299049,MO,Clinton County,"$57,064"
299051,MO,Cole County,"$54,033"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
299053,MO,Cooper County,"$45,276"
299055,MO,Crawford County,"$68,389"
299057,MO,Dade County,"$33,798"
299059,MO,Dallas County,"$39,214"
299061,MO,Daviess County,"$29,599"
299063,MO,DeKalb County,"$27,968"
299065,MO,Dent County,"$41,969"
299067,MO,Douglas County,"$38,058"
299069,MO,Dunklin County,"$98,170"
299071,MO,Franklin County,"$190,991"
299073,MO,Gasconade County,"$53,311"
299075,MO,Gentry County,"$29,428"
299077,MO,Greene County,"$185,733"
299079,MO,Grundy County,"$38,898"
299081,MO,Harrison County,"$34,849"
299083,MO,Henry County,"$67,412"
299085,MO,Hickory County,"$23,548"
299087,MO,Holt County,"$24,078"
299089,MO,Howard County,"$36,794"
299091,MO,Howell County,"$114,440"
